RTE_NBR,BIN_START,BIN_END,AADT_WT,URBAN,CRASH_COUNT,CRASHRATE
5.0,21.0,24.0,57018.32666666667,0,35.0,56.05823984715563
5.0,24.0,27.0,57730.0,0,33.0,52.20333674236941
5.0,27.0,30.0,56342.78666666666,0,25.0,40.521691558109836
5.0,30.0,33.0,57975.083333333336,0,23.0,36.23033379577547
5.0,33.0,36.0,58027.0,0,14.0,22.033515652806248
5.0,36.0,39.0,49633.47666666669,1,40.0,73.59887482923344
5.0,39.0,42.0,50181.83666666667,1,37.0,67.33502913085792
5.0,42.0,45.0,49656.11000000001,1,24.0,44.139197007534584
5.0,45.0,48.0,50570.0,0,20.0,36.11793589608148
5.0,48.0,51.0,42212.10666666667,0,24.0,51.92303808065035
5.0,51.0,54.0,39847.74,0,21.0,48.128406257872655
5.0,54.0,57.0,45060.0,0,25.0,50.66810969443077
5.0,57.0,60.0,47221.639999999985,0,24.0,46.41475437781934
5.0,60.0,63.0,42624.01333333333,0,18.0,38.565951159573814
5.0,63.0,66.0,44282.113333333335,0,20.0,41.246541340879396
5.0,66.0,69.0,44742.0,0,14.0,28.575808251427926
5.0,69.0,72.0,48051.583333333336,0,18.0,34.20981167332376
5.0,72.0,75.0,52679.986666666664,1,44.0,76.27687656051005
5.0,75.0,78.0,57111.72666666666,1,48.0,76.754143145073
5.0,78.0,81.0,64860.006666666675,1,41.0,57.728829056183486
5.0,81.0,84.0,62092.48999999999,1,58.0,85.30506109463538
5.0,84.0,87.0,58194.0,1,25.0,39.23265324313589
5.0,87.0,90.0,53892.359999999986,0,29.0,49.142435523031814
5.0,90.0,93.0,47952.0,0,13.0,24.758396143479853
5.0,93.0,96.0,49056.72,0,49.0,91.21861071732596
5.0,96.0,99.0,52555.0,0,27.0,46.91758014760792
5.0,99.0,102.0,56713.380000000005,0,46.0,74.07270104531122
5.0,102.0,105.0,83194.00000000007,1,77.0,84.52488725532643
5.0,105.0,108.0,138826.9,1,110.0,72.36106331306557
5.0,108.0,111.0,110600.01666666668,1,53.0,43.76294682657666
5.0,111.0,114.0,92828.5,1,41.0,40.33558915034631
5.0,114.0,117.0,99256.0,0,60.0,55.20524759001491
5.0,117.0,120.0,110692.16000000002,1,51.0,42.07646003633267
5.0,120.0,123.0,117592.34333333331,1,72.0,55.91641665915799
5.0,123.0,126.0,145259.04000000004,1,105.0,66.01338612653925
5.0,126.0,129.0,148390.91333333327,1,141.0,86.77561206084044
5.0,129.0,132.0,182137.6099999996,1,170.0,85.2383763861356
5.0,132.0,135.0,181910.73999999987,1,382.0,191.774519464098
5.0,135.0,138.0,190089.34333333318,1,125.0,60.05347229874657
5.0,138.0,141.0,167792.0,1,107.0,58.23692129372613
5.0,141.0,144.0,166110.3599999999,1,208.0,114.35429909341205
5.0,144.0,147.0,172416.6333333334,1,177.0,93.75188025156021
5.0,147.0,150.0,187755.99333333338,1,234.0,113.81720835808183
5.0,150.0,153.0,204026.12999999992,1,180.0,80.5698572255601
