CASENO,VEHNO,DRV_AGE,CONTRIB1,VEHTYPE
2002039750,1,48.0,4.0,1
2002039751,1,38.0,18.0,2
2002039752,1,47.0,31.0,2
2002039753,1,19.0,18.0,1
2002039754,1,43.0,23.0,3
2002039755,1,40.0,18.0,2
2002039756,1,39.0,3.0,1
2002039757,1,47.0,4.0,2
2002039758,1,20.0,4.0,1
2002039759,1,28.0,1.0,1
2002039760,1,17.0,4.0,1
2002039761,1,39.0,18.0,1
2002039762,1,58.0,18.0,1
2002039763,1,23.0,4.0,1
2002039764,1,17.0,4.0,1
2002039765,1,28.0,18.0,1
2002039766,1,28.0,4.0,1
2002039767,1,30.0,16.0,1
2002039768,1,49.0,18.0,1
2002039769,1,57.0,18.0,1
2002039770,1,63.0,5.0,3
2002039771,1,34.0,23.0,1
2002039772,1,25.0,1.0,2
2002039773,1,20.0,4.0,2
2002039774,1,27.0,5.0,1
2002039775,1,20.0,4.0,1
2002039776,1,38.0,7.0,2
2002039777,1,28.0,7.0,2
2002039778,1,28.0,16.0,2
2002039779,1,24.0,15.0,2
2002039780,1,34.0,4.0,2
2002039781,1,64.0,4.0,2
2002039782,1,56.0,24.0,2
2002039783,1,20.0,4.0,1
2002039784,1,19.0,23.0,1
2002039785,1,57.0,18.0,1
2002039786,1,32.0,5.0,2
2002039787,1,34.0,4.0,1
2002039788,1,46.0,4.0,1
2002039789,1,62.0,23.0,2
2002039790,1,22.0,5.0,2
2002039791,1,20.0,7.0,1
2002039792,1,18.0,5.0,1
2002039793,1,27.0,11.0,2
2002039794,1,23.0,1.0,2
2002039795,1,49.0,4.0,1
2002039796,1,45.0,18.0,2
2002039797,1,17.0,4.0,1
2002039798,1,47.0,4.0,2
2002039799,1,31.0,7.0,1
2002039800,1,32.0,7.0,1
2002039801,1,56.0,18.0,2
2002039802,1,60.0,7.0,2
2002039803,1,29.0,18.0,1
2002039804,1,17.0,5.0,1
2002039805,1,,18.0,1
2002039806,1,41.0,18.0,11
2002039807,1,32.0,18.0,1
2002039808,1,31.0,18.0,1
2002039809,1,74.0,23.0,7
2002039810,1,59.0,18.0,1
2002039811,1,29.0,4.0,2
2002039812,1,32.0,7.0,2
2002039813,1,41.0,5.0,2
2002039814,1,27.0,4.0,1
2002039815,1,18.0,4.0,2
2002039816,1,41.0,18.0,1
2002039817,1,18.0,7.0,1
2002039818,1,37.0,5.0,1
2002039819,1,19.0,5.0,1
2002039820,1,18.0,12.0,2
2002039821,1,32.0,12.0,1
2002039822,1,75.0,7.0,2
